序号,项目编号,项目名称,实施方式,时间计划,投入估算（万元）,相关业务板块,项目启动条件,项目收益,涉及AI技术,模型选择,数据需求与来源,可行性分析,目标用户,落地路径,相关案例
28,,单据智能核对系统,采购现有解决方案,2026Q4-2027Q4,5,物流,1.部署智能扫描设备（OCR识别适配医药单据格式）；2.打通ERP、WMS、供应商电子单据系统接口；3.建立单据核对规则（如订单号、药品规格、数量匹配）,"使用OCR技术识别单据自动识别匹配；
可实现智能单据统一打印
1.自动识别单据信息（采购单、入库单、出库单），核对时间从1小时/批次缩短至10分钟/批次；2.核对准确率达98%，减少人工核对错误（如数量不符）；3.自动生成收货记录并归档单据，单据管理效率提升80%",OCR、NLP（语义匹配）、RPA（系统查询/归档）、数据比对算法,大模型,1.内部：ERP订单数据、WMS库存数据、扫描设备OCR识别数据；2.外部：供应商电子单据系统（如采购单、发货单）,可行性高：1.OCR技术成熟，适配医药单据（含药品规格、数量字段）；2.核对规则明确（订单号、规格、数量一致），易配置；3.RPA可直接对接现有ERP/WMS接口,物流业务部门,1.设备部署：采购智能扫描设备，调试OCR识别功能（适配医药单据）；2.接口对接：打通ERP、WMS与供应商电子单据系统，实现数据互通；3.系统开发：开发核对模块，OCR识别单据→NLP语义匹配→RPA查询WMS验证；4.归档落地：核对成功后自动生成收货记录，单据电子化归档,"企业名称：企业21
应用的技术：药械自动识别和数据采集系统，采用OCR（光学字符识别）技术和数据扩增方案。
达成的目标与效果：该系统使药械信息复核工作效率提升50%，每单耗时从约两分半钟缩短至57秒，且复核准确度高达99.9%。
网址：[已脱敏链接]"
29,,货物状态智能核验系统,合作开发,2027Q3-2028Q3,8,物流,1.部署图像识别设备（仓库入口、卸货区安装高清摄像头）；2.建立药品外观特征库（含批号、有效期、包装样式）；3.对接WMS订单数据,"利用图像识别技术比对到货商品与订单信息的一致性（如批号、有效期、包装完整性），替代人工肉眼判断，减少错收风险
1.自动比对到货商品与订单信息一致性（批号、有效期、包装完整性），核验时间从30分钟/车缩短至5分钟/车；2.错收率降低90%，避免因错收导致的退货成本；3.减少人工肉眼判断，降低人力成本",计算机视觉（图像识别）、特征匹配算法、数据比对、异常预警,小模型,1.内部：WMS订单数据（药品批号、有效期、包装规格）、图像识别设备采集数据；2.外部：无（特征库基于内部药品数据）,可行性中：1.图像识别设备需硬件投入（高清摄像头、AI识别终端）；2.药品外观特征库需覆盖全品类，需人工录入（如特殊包装药品）；3.复杂场景（如包装破损轻微）识别准确率需优化,物流业务部门、质量管理中心,1.设备部署：在仓库入口、卸货区安装高清摄像头，连接AI识别终端；2.特征库建设：录入所有药品外观特征（批号位置、有效期格式、包装样式）；3.系统开发：开发核验模块，图像识别→特征匹配→与订单比对；4.异常处理：核验不一致时（如批号不符）触发预警，通知人工复核,"企业名称：企业22
应用的技术：智慧医药供应链中心，使用唯一条形码、智能算法、温湿度传感器及全程数字化监控。
达成的目标与效果：堆垛机通过扫描条形码自动匹配货架位置，误差率仅为十万分之一；冷库温度波动超过阈值时，系统会自动启动备用设备并推送预警。
网址：[已脱敏链接]"
30,,仓储设备智能管理系统,合作开发,2027Q4-2028Q4,8,物流,设备物联网改造，设备运行数据采集，预测性维护体系建立,"根据自动化设备（如AGV小车、自动分拣系统）和智能仓储管理系统（WMS），评估设备的利用率，提高高效存储与调度。

***建设配置：选型配置调试（AI辅助）
***运营维护：应用、状态识别、维修保养——优先",机器学习、预测性维护,小模型,设备运行数据、维护记录、故障数据,可行性中：需要设备数据采集和建模,物流业务部门、设备维护部门,1.设备改造：为AGV小车、自动分拣系统加装传感器，实现运行数据实时采集；2.数据积累：采集设备运行、故障、维护数据，建立设备数据库；3.模型开发：训练预测性维护模型，设置故障预警阈值；4.调度优化：开发设备调度模块，基于利用率动态分配任务，推送维护提醒,"企业名称：企业22
应用的技术：智慧医药供应链中心，采用自动化立体仓库、堆垛机、AGV（自动导引车）智能拣选机器人及智能调度系统。
达成的目标与效果：实现了“货找人”的拣选模式，分拣速度飙升至2500件/小时，相当于15名熟练工人同时作业，物流成本预计降低30%以上。
网址：[已脱敏链接]"
31,,运输路线智能优化,合作开发,2026Q2-2026Q4,11,物流,运输数据采集完善，地理信息系统建立，TMS系统升级,智能规划最优运输路线，运输成本降低20%，配送时效提升30%,优化算法、机器学习、GIS,小模型,运输路线数据、交通数据、客户地址数据,可行性高：路线优化算法相对成熟,物流业务部门,1.数据补全：梳理TMS历史运输数据，补全路线、时间、成本字段；2.接口对接：对接高德地图API，获取实时交通、天气数据；3.系统开发：开发路线优化模块，嵌入遗传算法，生成最优路线；4.应用落地：先在市内配送试点，优化后推广至跨市运输,"企业名称：企业23
应用的技术：AI智能调度中枢，整合千万级历史运输数据、区域货量密度、订单波峰波谷与实时路况进行路径规划。
达成的目标与效果：有效降低了车辆的空驶率，并极大提升了整体配送效率与服务稳定性。
来源网址：[已脱敏链接]

企业名称：企业11
应用技术：九州云仓系统、AI算法、历史配送数据建模
目标：降低车辆空置率，提升配送效率。
降本/增效/提质：整合全国125个物流中心、1700余台车辆数据，优化配送路径；武汉至恩施的车辆空驶里程从全程缩减至部分路段，显著降低物流成本。
来源网址：[已脱敏链接]
[已脱敏链接]"
32,,智能装车系统,合作开发,2026Q2-2027Q2,11,物流,车辆信息数据化，货品尺寸数据完善，装车算法开发,"通过机器识别等技术，检测并收集货车外形尺寸、药品大小等，实现自动分配装载药品位置和顺序，提高装车效率，减少人工错误。
***发货装车：哪些车（自有+外派），车型车箱空间确定，药品包装件数、尺寸也是确定的，算法优化装车；需方给了一个接货清单，基于某辆车、某次需求清单，优化出装载清单。约束：车辆空间、药品包装尺寸（需求清单关联）
***上下货的智能化：装卸的智能化，空间位的规划、现场的上下料的智能化（机械臂、机器人、托盘）——硬件算法
自动计算最优装车方案，车辆利用率提升25%，装车效率提升50%",优化算法、三维建模,小模型,车辆信息数据、货品尺寸数据、订单数据,可行性高：装车优化算法相对成熟,物流业务部门,1.数据录入：收集自有/外派车辆信息（长/宽/高、载重）、药品包装数据（尺寸、重量、堆叠限制）；2.算法开发：基于三维装箱算法开发装车模型，考虑卸货顺序（后装先卸）、承重限制；3.可视化展示：生成3D装车方案，指导工人装车；4.试点优化：先在常温药品装车试点，调整算法适配冷链药品（需预留制冷空间）,"宝佳智能为多家食品企业提供服务，基于视觉的并联机器人、高速码垛机器人、智能算法，实现智能分拣装箱，减少一线人员70%以上，生产节拍提升至280包/分钟。
[已脱敏链接]"
33,,冷链运输智能监控,采购现有解决方案,2027Q3-2027Q4,8,物流,冷链设备物联网改造，温湿度传感器部署，监控平台建设,实时监控冷链运输温湿度，智能预警异常，冷链事故率降低80%,物联网、传感器技术、异常检测,小模型,冷链设备数据、温湿度数据、运输路线数据,可行性中：需要硬件设备改造,物流业务部门、安全生产部门,1.设备改造：为所有冷链车、冷藏箱加装温湿度传感器、GPS，确保数据实时传输；2.阈值设置：按药品类型设置温湿度阈值（如冷藏2-8℃、冷冻-18℃以下）；3.平台开发：开发监控平台，实时展示位置、温湿度，触发预警后推送至司机与调度中心；4.应急处理：制定异常处理流程（如温超标时就近停靠制冷），定期演练,"企业名称：企业24（为多家跨国药企和医药流通企业提供解决方案）
应用的技术：物联网控制器、工业级传感器网络、边缘计算、区块链存证。
达成的目标与效果：实现全程温湿度秒级报警与云端存证，使药品货损率平均下降90%；人工巡检效率提升70%。
来源网址：[已脱敏链接]

企业名称：企业11
应用技术：GPS定位、温湿度传感器、冷链车联网系统
目标：保障冷链药品运输全程可追溯，提升质量安全。
降本/增效/提质：实时监控车辆位置、温度等数据，确保疫苗等冷链药品运输合规；通过智能调度优化路线，降低运输损耗。
来源网址：[已脱敏链接]
[已脱敏链接]"
34,,库房存储温湿度影响分析,合作开发,2026Q1-2026Q2,8,物流,1.仓库温湿度数据采集完善（加装传感器，补全历史数据）；2.建立温湿度影响模型（分析温湿度对药品效期、质量的影响）；3.对接WMS库存数据（药品存储位置、效期）,1.自动分析仓库不同区域温湿度差异（如靠近门口区域波动大），优化存储布局，药品效期延长10%；2.识别温湿度异常区域（如某货架温湿度超标），及时调整，质量问题减少40%；3.为仓库改造提供数据支撑（如加装空调、密封门）,数据分析（温湿度趋势分析）、机器学习（影响因子模型）、可视化报表、优化建议生成,小模型,1.内部：仓库温湿度传感器数据（历史+实时）、WMS药品存储数据（位置、效期、质量记录）；2.外部：药品说明书（温湿度要求）、GSP存储规范,可行性高：1.温湿度传感器部署成本低，历史数据可短期积累；2.影响分析逻辑简单（对比不同区域药品效期、质量差异）；3.现有BI工具可支撑报表生成,物流业务部门、质量管理中心,1.传感器部署：在仓库各区域（货架、门口、角落）加装温湿度传感器，采集历史数据（1个月）；2.模型构建：分析温湿度与药品效期、质量的关联（如温湿度高则效期短）；3.报表生成：制作温湿度影响分析报表，标注异常区域；4.布局优化：根据报表调整存储布局（如效期短药品存温湿度稳定区域），必要时改造仓库,"企业11广东30米超高立体库采用百奥除湿机，通过AI算法动态调节湿度至60%RH以下，保障冷链药品质量。
[已脱敏链接]"
35,,配送车辆智能调度,合作开发,2026Q2-2026Q4,11,物流,车辆GPS定位系统完善，调度算法开发，实时数据采集,"通过人工智能算法和数据分析，实现精确的路线规划和共享车辆的调度，提高出行效率和资源利用率。

***排队叫号系统优化：考虑紧急程度/货源的满足程度（特殊例外）、预约-现场签到排队（考虑流量上限）
***共享车辆（自有+社会车辆——逐步扩大社会车辆，加入滴滴系统）：不同车的来源共享，送货如果有同一路线沿线订单，合并到同一辆车里
***路线规划：常规情况不需要，异常情况下需要
单一司机/特殊季节的配送
***面向司机端的智能助理

实时优化车辆调度，提高车辆利用率30%，配送效率提升40%",优化算法、实时调度,小模型,车辆位置数据、订单数据、交通数据,可行性高：调度算法相对成熟,物流业务部门,1.GPS优化：检查所有配送车辆GPS，确保在线率100%，数据采集频率1次/2分钟；2.算法开发：开发实时调度模型，用聚类算法合并同路线订单，考虑订单优先级（如急救药品优先）；3.调度平台：开发可视化调度平台，展示车辆位置、订单状态，支持人工干预；4.应用推广：先在城市配送试点，优化后覆盖跨区域调度,"企业名称：企业25
应用的技术：菜鸟无人车配送车队。
达成的目标与效果：配送成本降低50%，配送效率提升70%。将以往""今天发货明日配送""变为""一日三配""，并开通了一小时紧急配送服务。
来源网址：[已脱敏链接]"
36,,物流成本智能分析,合作开发,2027Q1-2027Q2,8,物流,物流成本数据标准化，成本分析模型建立,深度分析物流成本构成，识别降本机会，预计每年降本250万元,数据挖掘、成本分析模型,小模型,物流成本数据、运输数据、仓储数据,可行性高：成本数据相对完整,物流业务部门、财务管理部,1.数据标准化：梳理物流成本数据，统一构成字段（运输费、仓储费、人工费、燃油费）；2.模型开发：开发成本分析模型，分析结构、趋势，识别降本机会（如燃油费高则优化路线）；3.报表生成：制作物流成本报表，支持按环节、区域筛选；4.降本落地：根据分析结果制定方案（如与物流公司谈长期合作降运费），跟踪效果,"企业名称：企业26（应用药店智能车辆管理系统）
应用的技术：智能车辆管理系统，通过物联网与AI算法进行订单智能匹配、路径动态优化。
达成的目标与效果：帮助企业26降低30%配送成本，车辆利用率提升85%。
来源网址：[已脱敏链接]"
37,,智能分拣系统,合作开发,2026Q4-2027Q4,11,物流,分拣设备智能化改造，订单数据结构化，分拣算法开发,自动优化分拣路线和顺序，分拣效率提升50%，错误率降低70%,机器学习、计算机视觉、优化算法,小模型,订单数据、商品信息、仓库布局数据,可行性中：需要硬件设备配合,物流业务部门,1.设备改造：为现有分拣线加装扫码器（识别药品条码）、分拣机械臂（按区域分拣）；2.数据准备：统一订单分拣要求（如按区域、客户、药品类型）；3.算法开发：开发分拣优化模型，按订单优先级、设备负载动态调整顺序；4.调试上线：先在常规药品分拣试点，优化后覆盖特殊药品（冷链、易碎）,"企业名称：企业22
应用的技术：自动分拣系统、高精度扫描仪。
达成的目标与效果：分拣速度飙升至2500件/小时，相当于15名熟练工人同时作业。系统还能通过视觉识别实时监测并""自我纠错""，拦截错分药品。
来源网址：[已脱敏链接]

企业名称：企业11
应用技术：AGV智能机器人、地空一体托盘穿梭车、货到人拣选系统
目标：提升仓储物流自动化水平，降低人力成本。
降本/增效/提质：武汉东西湖物流中心拣选效率达2000条目/小时，吞吐效率提升5倍；立体库单班仅需2名操作工，库容存储密度提高200%。
来源网址：[已脱敏链接]
[已脱敏链接]
[已脱敏链接]"
38,,物流跟踪智能系统,合作开发,2026Q3-2027Q3,8,物流,物流节点数据采集，跟踪系统建设，客户接口开发,实时跟踪货物配送状态，提供精准的配送信息，客户满意度提升30%,物联网、实时数据处理,小模型,车辆位置数据、订单状态数据,可行性高：技术相对成熟,物流业务部门、客户服务部,1.设备部署：在仓库出库口、5个区域配送点加装扫码设备，调试数据采集功能（确保扫描后10秒内同步至系统）；2.系统对接：改造TMS与GPS接口，实现位置数据5分钟更新一次，关联运单号与节点时间；3.客户接口开发：开发企业微信小程序查询入口（支持运单号查询、状态实时显示、预计送达时间），官网同步嵌入查询模块；4.异常配置：设置节点超时规则（如出库后24小时未到中转点、派送前6小时未更新位置），RPA自动推送预警至物流调度员；5.试点推广：先在南京本地医院配送试点，收集客户反馈优化界面，1个月后覆盖江苏省内全线路,"重庆军卫医药：引入TMS运输管理系统，实现配送信息及轨迹的可视化查询，并对冷链药品进行在途温湿度监控.
[已脱敏链接]"
39,,仓库货品智能盘点,合作开发,2027Q4-2028Q2,8,物流,RFID技术部署，盘点系统开发，库存数据实时同步,"自动化库存盘点，盘点效率提升80%，准确率达99%以上；
利用AI视觉检测识别损坏、临期、过期药品并及时发出预警，提供处理建议。",RFID、计算机视觉、自动化技术,小模型,库存数据、商品信息、RFID标签数据,可行性中：需要RFID技术部署,物流业务部门,1.模型搭建：用激光扫描仪采集2个主力仓库数据，建立三维模型，标注温区、货架承重、通道宽度；2.数据训练：提取近3个月库存数据（销量TOP100药品、温区要求、拣货频次），训练存储优化模型，设置优先级规则（销量高＞温区严格＞拣货频次高）；3.系统开发：开发空间规划模块，嵌入WMS系统，入库时自动推荐存储位置，生成最优拣货路径；4.试点验证：选取常温区100种药品试点，对比原人工规划方案，空间利用率提升至80%后全仓库推广；5.迭代优化：每月分析空间利用率、拣货效率数据，调整模型中销量与温区的权重占比,"重庆军卫医药：通过部署WMS仓储管理系统，对药品进行跟踪、追溯和统计，提升了盘点等作业的准确性。
[已脱敏链接]"
40,,智能货架管理系统,合作开发,2027Q3-2028Q3,8,物流,货架传感器部署，货架管理系统开发,实时监控货架库存状态，自动补货提醒，货架利用率提升30%,物联网、传感器技术,小模型,货架数据、库存数据、销售数据,可行性中：需要硬件设备改造,物流业务部门,1.设备配备：为20名拣货员、30名配送司机配备作业记录仪，设置数据采集频率（拣货员每完成1单上传1次，司机每完成1个配送点上传1次）；2.指标定义：联合HR部门制定绩效指标，明确计算口径（如拣货准确率=无差错拣货订单数/总拣货订单数，允许±1件误差），设置权重（拣货效率30%、准时率30%、货损率20%、客户评价20%）；3.系统开发：开发绩效评估模块，自动抓取作业数据计算得分，生成个人/团队绩效报表；4.薪酬对接：用RPA将每月绩效得分同步至HR薪酬系统，按得分区间（≥90分奖2000元，80-89分奖1500元）自动计算奖金；5.应用落地：先在南京本地物流团队试点，2个月后推广至江苏省内所有物流人员,"企业名称：企业22
应用的技术：AGV（自动导引车）智能拣选机器人、""货到人""拣选系统。
达成的目标与效果：实现了""货找人""的拣选模式，一名员工即可轻松应对，改变了传统仓库需多人拉车找货的局面，大幅提升了拣选效率。
来源网址：[已脱敏链接]"
41,,物流异常智能处理,采购现有解决方案,2027Q2-2027Q4,8,物流,异常事件数据采集，异常处理流程标准化,智能识别和处理物流异常事件，异常处理效率提升60%,异常检测、机器学习、流程自动化,小模型,异常事件数据、处理流程数据,可行性高：异常处理流程相对标准,物流业务部门,1.数据整合：补全近2年冷链药品区域销售数据（重点补充苏北、苏中乡镇卫生院数据），对接区域疫情平台、气象数据接口，建立冷链需求数据库；2.模型训练：基于LSTM算法训练预测模型，纳入季节（夏季高温）、政策（集采扩围）、疫情（局部爆发）三大影响因子，设置动态权重规则；3.系统对接：将预测模型嵌入TMS冷链调度系统，每月生成冷链需求报表（区域需求分布、车辆需求数量）；4.资源调配：根据预测数据提前调配冷藏车（如夏季向苏南地区增配5辆冷藏车），设置应急储备车辆（2辆备用冷藏车）；5.验证优化：每季度对比实际需求与预测数据，调整模型中疫情、温度因子的权重,"四方麒麟物流大模型整合千万级历史运输数据，实时监控路况与车辆状态，自动推荐备选路线或承运商，异常处理响应速度提升。
[已脱敏链接]"
42,,物流质量管理助手,合作开发,2026Q2-2026Q4,8,物流,质量监控指标体系建立，数据采集系统完善,"实时监控仓库人员操作合规性，含抽检行为合规性识别，保证物流仓储流程的质量合规性；
将验收过程视频片段、关键参数截图、环境监测数据打包上链，形成不可篡改的数字档案，为后续追溯提供可信依据",数据分析、质量管理,小模型,物流服务数据、客户反馈数据、质量指标数据,可行性高：质量指标相对明确,物流业务部门、质量管理中心,1.数据整合：对接现有物流管理系统，整合运输、仓储、配送全链路数据；2.算法开发：构建质量异常检测模型和预测分析算法；3.系统部署：开发质量管理仪表板和预警系统；4.试点验证：选择重点物流线路进行试点应用；5.全面推广：优化完善后在全公司物流网络推广应用,"企业名称：企业23
应用的技术：物联网与人工智能技术融合，构建“动态监控-智能管控-流程优化-决策支持”体系，具备轨迹追踪、实时温控及合规监测功能。
投资金额：未公开
达成的目标与效果：系统可实时采集运输车辆温湿度数据，自动生成温度曲线并比对药品温度阈值，一旦偏移立即触发三级预警。通过质量数字化管理，在满足GSP法规要求的同时提升了运营效率。"
43,,智能仓储布局优化,合作开发,2027Q4-2028Q2,11,物流,仓库布局数据采集，优化算法开发,"根据订单计划、波次品类、分拣路径等，结合距离、热度、相关性的货位分配原则，实现自动规划货位及拣货路线。

***老库优化：根据进出频次、根据上下装载需求、存放本身的特殊性（摆放）；AGV小车路线（进出）；立库位置
***新库设计：功能、品类、进出、储管要求

优化仓库布局设计，提高空间利用率和作业效率",优化算法、仓库设计,小模型,仓库布局数据、作业流程数据、商品数据,可行性中：需要仓库设计专业知识,物流业务部门,1.数据采集：收集现有仓储设施数据、货物特性数据、订单数据；2.算法设计：开发基于遗传算法和模拟退火的仓储布局优化模型；3.仿真验证：通过数字孪生技术进行布局方案仿真；4.试点改造：选择1-2个仓库进行实际改造试点；5.全面推广：总结经验后推广至全国仓库网络,"企业名称：企业27（智慧医药物流园项目）
应用的技术：智能化仓储管理系统（WMS）、物流机器人（AGV）、自动化分拣线及物联网传感设备。
投资金额：未公开
达成的目标与效果：实现了从传统“人找货”到智能“货到人”的根本性转变。项目投入运营后，已助力仁和实现新增销售收入1亿元，利润提升约1500万元，经济效益显著。
[已脱敏链接]"
44,,智能订单合并系统,合作开发,2027Q2-2028Q2,8,物流,订单数据标准化，合并规则建立,智能合并同一客户的多个订单，降低物流成本和提高效率,规则引擎、数据分析,小模型,订单数据、客户数据、物流数据,可行性高：合并规则相对简单,物流业务部门,1.规则梳理：分析现有订单处理规则和业务流程；2.算法开发：构建基于机器学习的订单合并优化算法；3.系统集成：与现有ERP和WMS系统对接；4.灰度发布：先对部分区域订单进行智能合并试点；5.全面上线：根据试点效果优化后全面推广应用,"医药物流AI智能调度系统：链四方 (技术提供方）
✅ 订单聚合：融合多家客户订单。
✅ AI智能调度：利用AI算法分析区域货量密度与波峰波谷，自动规划最优路线，实现智能排班与车货匹配。将单车配送装载率从不足40% 提升至80%以上，显著降低了物流成本。
[已脱敏链接]"
45,,物流数据可视化平台,采购现有解决方案,2027Q1-2028Q1,5,物流,物流数据整合，可视化平台开发,实时展示物流运营数据，支持管理决策和优化,数据可视化、BI分析,小模型,物流全流程数据,可行性高：数据可视化技术成熟,物流业务部门、管理层,1.数据中台建设：构建物流数据仓库和数据集市；2.可视化开发：设计物流关键指标仪表板和分析报表；3.智能分析：集成AI算法实现异常检测和趋势预测；4.用户培训：对物流管理人员进行系统使用培训；5.持续优化：根据用户反馈不断完善可视化内容和分析功能,"重庆军卫医药：通过OMS、WMS、TMS系统，实现了对药品从验收、存储、分拣到配送全过程数据的优化和可视化管控。
[已脱敏链接]"
46,,智能物流网点选址,合作开发,2028Q1-2028Q3,11,物流,市场数据采集，选址模型建立，成本效益分析,"通过建立混合整数线性规划（MILP）模型，结合仓库/工厂/供应商点位、运输信息、采购信息，成本信息等提供仓储布局智能选址。

***前置仓：本地化的前置仓选址方案
***专业仓：器械类、特殊品
***融合仓：多品类、多形态
***立体仓
智能分析和推荐最优物流网点地址，提高网络覆盖效率",优化算法、地理信息系统,大模型+小模型,市场数据、地理数据、成本数据,可行性中：需要复杂的地理分析,物流业务部门、战略与证券事务部,1.数据收集：整合地理数据、客户分布、交通状况、成本数据等；2.模型构建：开发基于多因素分析的网点选址决策模型；3.仿真评估：对不同选址方案进行经济效益和服务能力仿真；4.决策支持：为管理层提供选址决策建议和可视化分析；5.实施跟踪：对新选址网点的运营效果进行持续跟踪评估,"四方麒麟基于区域货量密度、交通网络等数据，为某药企推荐最优仓库位置，配送时效提升。
[已脱敏链接]"
47,,物流服务智能评价助手,合作开发,2026Q2-2026Q4,8,物流,服务评价指标体系建立，客户反馈数据采集,智能评价物流服务质量，持续改进服务水平,数据分析、服务评价模型,小模型,客户反馈数据、服务数据、评价指标,可行性高：评价指标相对明确,物流业务部门、客户服务部,1.评价体系构建：建立物流服务质量评价指标体系；2.数据采集：整合客户反馈、运营数据、时效数据等；3.模型训练：开发服务质量评价模型和满意度预测模型；4.系统开发：构建服务评价分析平台和改进建议系统；5.闭环管理：建立评价-分析-改进-反馈的闭环管理机制,"FreightAmigo：侧重于物流运输过程的量化监测
该平台通过传感器和AI算法，将运输过程中的温度、冲击等关键指标数字化并实时记录。这些客观、不可篡改的数据，使得对承运方的服务质量的评价不再是主观感受，而是有了精确的数据支撑，为后续的承运商选择、绩效考核乃至保险理赔都提供了坚实依据。
[已脱敏链接]
链四方“四方麒麟”：内嵌了行业知识与评价规则
这个AI大模型的特点在于它深刻理解医药物流的行业法规和业务流程。它可以自动识别合规风险，并通过智能调度算法优化运输路径和车货匹配。这意味着，它将行业的“好服务”标准（如合规、高效、低成本）内化到了系统功能中，从而能够自动执行符合这些标准的决策。
[已脱敏链接]
[已脱敏链接]
国控广东与旷视的合作：实现了操作环节的自动化质检
这个项目展示了AI在具体物流操作节点上的评价能力。在药品收货环节，系统通过AI视觉技术，自动、快速地对药品信息进行复核，准确率高达99%以上，效率提升超50%。这实际上扮演了“自动化质检员”的角色，确保每一步操作的准确率，从而保障整体物流服务的质量。
[已脱敏链接]
[已脱敏链接]
[已脱敏链接]"
48,,患者助理/药事服务智能问答系统,合作开发,2026Q2-2027Q2,11,零售,药品知识库建设完成，药师专业知识数据化，客户服务平台建设,提供24小时在线用药咨询服务，提升客户满意度和专业服务水平，客户咨询响应时间缩短80%,NLP、知识图谱、对话系统,大模型,药品说明书数据、药师专业知识、客户咨询数据,可行性高：知识库技术相对成熟,零售业务部门,1.知识图谱构建：建立药品知识库、疾病知识库、用药指南库；2.NLP模型训练：开发针对医药领域的自然语言处理模型；3.系统开发：构建智能问答系统和用户交互界面；4.试点应用：在重点门店和线上渠道进行试点；5.持续优化：基于用户反馈不断扩充知识库和优化回答质量,"企业名称：企业28、企业29天衍实验室及英国多家顶尖医学机构
应用的技术：基于知识协作机制的大语言模型药物分析系统（DrugGPT），包含问诊分析、知识获取与证据生成三大协同模块，整合权威知识库构建疾病-症状-药物知识图谱。
投资金额：未公开
达成的目标与效果：在药物不良反应、药物-相互作用等安全关键任务上，准确率较现有最强模型提高17.3–39.8%。外部验证表明，能将基层医生药物决策准确率从83.4%提升至91.2%。
[已脱敏链接]"
49,,虚拟导购员（数字人）,合作开发,2027Q4-2028Q2,14,零售,商品信息数据库完善，语音交互技术部署，导购知识库建设,提供智能化导购服务，帮助客户选择合适商品，销售转化率提升30%,语音识别、NLP、推荐系统,大模型,商品信息数据、客户购买数据、导购知识,可行性中：需要语音交互技术支持,零售业务部门,1.数字人设计：根据品牌定位设计虚拟导购员形象和交互风格；2.技术开发：集成语音识别、NLP、计算机视觉等技术；3.知识库构建：建立产品知识、促销信息、健康知识等内容库；4.场景部署：在门店终端、官网、APP等渠道部署；5.运营优化：根据用户交互数据不断优化数字人表现和服务能力,"企业名称：企业30
应用的技术：基于大模型的智能运营产品，具有文本理解、问答、情感分析等能力。
投资金额：未公开
达成的目标与效果：数字员工“一言如玉-小玉”能够实现智能应答、运营支持等多项功能，旨在释放生产力，帮助零售药店提升运营效能，实现增收降本。
[已脱敏链接]"
50,,店员陪练智能助手,合作开发,2027Q1-2027Q3,8,零售,店员培训体系数据化，产品知识库建设，培训平台开发,提供个性化店员培训和指导，提升店员专业水平和销售技能,NLP、知识图谱、个性化推荐,大模型,产品知识数据、销售技巧数据、店员表现数据,可行性高：培训内容相对标准化,零售业务部门、人力资源部,1.培训体系梳理：分析店员培训需求和现有培训内容；2.场景构建：开发常见销售场景和顾客问答模拟场景；3.系统开发：构建交互式培训平台和反馈评估系统；4.试点培训：选择部分门店进行试点培训；5.全面推广：根据试点效果优化后在全公司推广应用,"企业名称：企业31
应用的技术：以大语言模型和AIAgent技术为核心的“AI陪练”，构建“学、练、考、评”四维一体模式，实现个性化学习与实时反馈。
投资金额：未公开
达成的目标与效果：相较于传统耗资百万的线下培训，该助手能以更低成本提供高拟真角色扮演和合规演练，帮助学员快速构筑合规防线，适用于新品上市培训、拜访情景对话等多种场景。
[已脱敏链接]"
51,,智能货架与商品管理,合作开发,2028Q1-2028Q3,8,零售,货架传感器部署，视觉识别技术实施，商品管理系统升级,实时监控货架库存，自动补货和优化陈列，缺货率降低60%,计算机视觉、物联网、机器学习,小模型,货架数据、商品销售数据、客户行为数据,可行性中：需要硬件设备改造,零售业务部门,1.物联网部署：在货架安装RFID、摄像头等智能设备；2.数据采集：收集商品销售数据、库存数据、顾客行为数据；3.算法开发：构建货架优化算法和商品关联分析模型；4.系统集成：与ERP、POS系统对接实现数据互通；5.智能管理：实现自动补货提醒、货架热力图分析、商品陈列优化,"企业名称：企业22
应用技术：AGV智能拣选机器人、激光导航、智能调度系统、视觉识别技术
投资金额：未公开
目标：实现仓储物流自动化，提升分拣效率与精准度，降低人力成本。
降本/增效/提质：分拣速度达2500件/小时（相当于15名熟练工人同时作业），物流成本预计降低30%以上，偏远地区药品配送时效从“按周等”提升至“按小时达”。
来源网址：[已脱敏链接]"
52,,会员画像智能分析,合作开发,2026Q2-2026Q3,11,零售,会员数据整合，数据清洗和标准化，画像分析模型建立,构建精准的会员画像，实现个性化营销和服务，会员复购率提升40%,机器学习、数据挖掘、用户画像,小模型,会员消费数据、个人信息数据、行为数据,可行性高：会员数据相对完整,零售业务部门,1.数据整合：整合会员基本信息、消费记录、互动行为等多维度数据；2.标签体系构建：建立会员标签体系和画像模型；3.算法训练：开发会员分群算法和价值评估模型；4.应用开发：构建会员画像分析平台和可视化系统；5.精准营销：基于画像实现个性化推荐和精准营销,"企业名称：企业32（合作药店）
应用技术：中康资讯CMH大数据中心、机器学习算法、会员消费行为分析
投资金额：未公开
目标：构建会员画像，筛选高价值客户，实现个性化营销。
降本/增效/提质：优惠券转化率提升6.5倍，精准营销精准率达到99%。
来源网址：[已脱敏链接]"
